  ID                   comp_ID   pair_ID   obs_time              PA        PA_err    sep        sep_err   deltamag   deltamag_err   band    instru   
  HD114737             1         A-B       20.092.627            234.40    0.10      193.10     1.80      2.40       -999.00        y       TOK10    
  HD114737             1         A-B       20.085.448            234.40    0.10      189.60     1.40      2.50       -999.00        Ha      TOK10    
  HD114737             1         A-B       20.085.448            234.30    0.10      194.00     0.80      2.40       -999.00        y       TOK10    
  HD114737             1         A-B       20.124.603            233.93    1.65      190.60     5.57      2.85       0.56           H       SAM      
  HD114737             1         A-B       20.124.603            233.93    1.65      190.60     5.57      2.19       0.11           Ks      SAM      
  HD114737             2         A-C       20.124.603            41.83     1.52      3389.34    67.68     5.98       0.29           H       IMG      
  HD114737             2         A-C       20.124.603            41.83     1.52      3389.34    67.68     5.45       0.14           Ks      IMG      
  HD114737             3         A-D       20.124.603            258.09    1.44      5612.03    102.14    6.13       0.36           Ks      IMG      
  HD114737             4         A-E       20.124.603            115.94    1.25      6924.34    90.62     5.11       0.17           H       IMG      
  HD114737             4         A-E       20.124.603            115.94    1.25      6924.34    90.62     4.37       0.11           Ks      IMG      
  HD114737             5         A-F       20.124.603            80.98     1.27      7502.25    101.90    6.60       0.50           H       IMG      
  HD114737             5         A-F       20.124.603            80.98     1.27      7502.25    101.90    5.53       0.15           Ks      IMG      
  HD114886A            1         Aa-Ab     2.006.177             276.90    -999.00   243.00     -999.00   1.60       -999.00        n/a     MAS09    
  HD114886A            1         Aa-Ab     20.085.448            277.80    0.10      247.10     6.40      2.30       -999.00        y       TOK10    
  HD114886A            1         Aa-Ab     20.085.448            278.30    0.10      245.00     3.20      2.40       -999.00        Ha      TOK10    
  HD114886A            1         Aa-Ab     20.092.627            279.90    0.10      254.60     0.70      2.50       -999.00        y       TOK10    
  HD114886A            1         Aa-Ab     20.124.603            277.46    1.35      240.28     5.02      2.59       0.79           H       SAM      
  HD114886A            1         Aa-Ab     20.124.603            277.46    1.35      240.28     5.02      2.13       0.16           Ks      SAM      
  HD114886A            2         A-B       n/a                   -999.00   -999.00   1670.00    -999.00   2.00       -999.00        V       MAS98    
  HD114886A            2         A-B       20.085.448            38.30     0.10      1687.60    2.00      3.00       -999.00        Ha      TOK10    
  HD114886A            2         A-B       20.085.448            38.10     0.10      1690.10    0.10      2.90       -999.00        y       TOK10    
  HD114886A            2         A-B       20.092.627            38.20     0.10      1680.50    5.10      3.60       -999.00        y       TOK10    
  HD114886A            2         A-B       20.124.603            37.49     1.65      1687.71    38.63     2.16       0.14           H       IMG      
  HD114886A            2         A-B       20.124.603            37.49     1.65      1687.71    38.63     2.13       0.11           Ks      IMG      
  HD114886A            3         A-C       20.124.603            90.27     1.17      3576.48    38.35     6.09       0.17           H       IMG      
  HD114886A            3         A-C       20.124.603            90.27     1.17      3576.48    38.35     5.88       0.11           Ks      IMG      
  HD114886A            4         A-D       20.124.603            9.76      1.34      3629.11    56.35     7.39       0.35           H       IMG      
  HD114886A            4         A-D       20.124.603            9.76      1.34      3629.11    56.35     6.89       0.21           Ks      IMG      
  HD114886A            5         A-E       20.124.603            141.88    1.13      5195.79    48.18     5.18       0.14           H       IMG      
  HD114886A            5         A-E       20.124.603            141.88    1.13      5195.79    48.18     4.95       0.12           Ks      IMG      
  HD114886A            6         A-F       20.124.603            138.39    1.09      5287.96    39.77     5.28       0.15           H       IMG      
  HD114886A            6         A-F       20.124.603            138.39    1.09      5287.96    39.77     4.93       0.15           Ks      IMG      
  HD115071             0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD115455             1         A-B       20.111.851            5.30      8.70      48.09      9.16      3.22       0.18           H       SAM      
  HD115455             1         A-B       20.111.851            5.30      8.70      48.09      9.16      2.69       0.13           Ks      SAM      
  HD117856             1         A-B       n/a                   -999.00   -999.00   1590.00    -999.00   3.9        -999.00        V       MAS98    
  HD117856             1         A-B       20.124.603            354.34    1.94      1631.08    47.17     4.53       0.14           H       IMG      
  HD117856             1         A-B       20.124.603            354.34    1.94      1631.08    47.17     4.49       0.12           Ks      IMG      
  HD117856             2         A-C       20.124.603            89.78     1.26      7466.38    100.18    6.30       0.13           H       IMG      
  HD117856             2         A-C       20.124.603            89.78     1.26      7466.38    100.18    5.83       0.19           Ks      IMG      
  HD120678             1         A-B       20.124.604            139.30    2.51      768.00     26.00     5.07       0.35           H       IMG      
  HD120678             1         A-B       20.124.604            139.30    2.51      768.00     26.00     5.11       0.46           Ks      IMG      
  HD120678             2         A-C       20.124.604            282.81    1.15      4496.95    43.78     6.54       0.26           H       IMG      
  HD120678             2         A-C       20.124.604            282.81    1.15      4496.95    43.78     5.88       0.13           Ks      IMG      
  HD120678             3         A-D       20.124.604            43.81     1.13      6471.37    59.59     6.08       0.28           H       IMG      
  HD120678             3         A-D       20.124.604            43.81     1.13      6471.37    59.59     5.80       0.13           Ks      IMG      
  HD123590             1         A-B       20.124.441            272.22    44.55     0.64       0.43      0.25       0.69           H       PIO      
